日期,北京,天津,河北,山西,内蒙,辽宁,吉林,黑龙,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,全国,
2020.1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020.1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
2020.1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
2020.1.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,
2020.1.19,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,77,
2020.1.20,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,
2020.1.21,5,2,0,0,0,0,0,0,7,0,5,0,0,2,1,1,105,1,12,0,0,5,2,0,1,0,0,0,0,0,0,149,
2020.1.22,4,2,1,1,0,2,1,1,7,1,5,1,1,1,1,4,69,3,6,5,4,4,3,3,0,0,0,0,0,1,0,131,
2020.1.23,12,1,1,0,1,2,2,2,4,4,20,14,4,4,7,4,105,5,21,8,1,18,10,0,1,0,3,2,0,1,2,259,
2020.1.24,10,3,6,5,1,8,1,6,13,9,19,24,5,11,12,23,180,15,25,10,5,30,13,1,3,0,2,2,0,1,1,444,
2020.1.25,15,2,5,3,5,5,0,6,7,17,42,21,8,18,18,51,323,45,20,10,10,18,16,1,6,0,10,3,1,1,1,688,
2020.1.26,16,5,5,4,4,5,2,6,13,16,24,10,17,12,22,45,371,31,48,13,7,35,25,2,10,0,7,7,3,3,1,769,
2020.1.27,13,8,15,7,2,5,2,9,13,23,45,36,24,24,26,40,1291,43,42,5,11,22,21,2,11,0,13,5,2,4,5,1769,
2020.1.28,16,2,15,7,3,9,1,7,14,29,123,46,23,37,34,38,840,78,53,7,5,15,18,0,19,0,11,5,0,1,3,1459,
2020.1.29,16,2,17,8,2,3,5,6,21,30,132,48,19,53,24,72,1032,56,70,20,3,18,34,3,19,1,17,2,0,5,1,1739,
2020.1.30,20,5,17,4,2,6,0,16,27,39,109,37,19,78,33,74,1220,55,82,9,3,41,36,3,10,0,24,4,2,4,3,1982,
2020.1.31,24,2,14,8,3,15,3,21,25,34,62,60,24,47,24,70,1347,57,127,13,8,32,30,14,11,0,15,6,0,5,1,2102,
2020.2.1,27,11,8,9,3,4,6,15,24,34,62,43,15,47,23,71,1921,74,85,11,6,24,24,9,8,0,15,5,1,2,3,2590,
2020.2.2,32,4,9,10,7,6,8,23,16,35,63,68,20,59,21,73,2103,58,79,16,7,38,23,8,10,0,12,11,4,3,3,2829,
2020.2.3,16,14,13,8,4,4,11,39,15,37,105,72,15,85,24,109,2345,72,114,12,9,37,28,10,8,0,14,5,2,3,5,3235,
2020.2.4,25,4,9,7,5,7,12,35,25,33,66,50,11,72,28,89,3156,68,73,11,11,29,19,8,5,0,23,1,2,0,3,3887,
2020.2.5,21,3,22,9,4,8,5,37,21,32,59,61,10,52,45,87,2987,50,74,18,11,23,20,5,6,0,8,5,1,6,4,3694,
2020.2.6,23,9,14,6,3,5,6,50,15,35,52,74,9,61,36,63,2447,61,74,4,11,22,23,8,7,0,11,8,0,3,3,3143,
2020.2.7,18,2,24,8,1,5,4,19,12,31,42,68,15,37,28,67,2841,31,57,11,12,15,19,12,3,0,11,1,0,2,3,3399,
2020.2.8,11,7,11,12,4,6,9,26,11,29,27,46,11,42,28,53,2147,35,45,12,6,20,23,7,2,0,13,10,0,0,3,2656,
2020.2.9,11,3,12,4,4,2,2,24,3,24,29,51,11,32,24,40,2618,41,31,15,8,22,19,13,1,0,5,5,0,4,4,3062,
2020.2.10,5,5,21,3,0,1,1,29,7,23,25,30,6,32,27,32,2097,33,26,5,6,18,12,9,8,0,6,1,0,4,6,2478,
2020.2.11,10,10,12,2,2,3,2,18,4,28,14,29,5,40,11,30,1638,34,42,7,3,19,19,13,5,0,6,0,0,5,4,2015,
2020.2.12,14,6,14,2,1,5,1,17,7,27,14,22,7,28,9,34,14840,22,22,0,12,13,15,4,1,0,4,1,0,6,4,15152,
2020.2.13,6,7,18,0,2,1,2,23,5,23,10,24,2,28,13,15,4823,20,20,4,0,11,12,5,7,0,1,3,0,3,2,5090,
2020.2.14,3,1,8,1,5,2,2,7,8,11,7,16,4,13,11,28,2420,13,33,9,5,8,7,3,6,0,2,0,0,3,5,2641,
2020.2.15,5,2,9,1,2,1,1,20,2,13,5,12,2,13,7,19,1843,3,22,2,0,7,11,1,1,0,4,0,0,0,1,2009,
2020.2.16,1,2,1,1,2,1,0,12,3,9,4,11,3,5,4,15,1933,2,6,1,0,7,14,2,2,0,4,1,0,0,2,2048,
2020.2.17,6,1,1,1,1,0,0,7,2,3,1,9,2,3,2,11,1807,1,6,4,1,2,13,0,1,0,0,0,0,0,1,1886,
2020.2.18,6,3,4,1,2,0,1,6,0,2,1,4,1,1,1,5,1693,1,3,2,0,2,6,0,1,0,2,0,0,1,0,1749,
2020.2.19,2,2,1,0,0,0,1,6,0,0,2,1,0,1,2,4,775,2,1,1,5,5,6,0,0,0,3,0,0,0,0,820,
2020.2.20,1,1,1,1,0,0,0,3,1,0,28,1,0,0,202,2,631,1,1,1,0,7,5,0,2,0,0,0,0,0,0,889,
2020.2.21,3,2,1,0,0,0,0,0,0,0,2,1,0,0,2,3,366,2,6,3,0,5,1,0,0,0,0,0,0,0,0,397,
2020.2.22,0,2,2,0,0,0,0,1,1,0,0,0,0,0,4,1,630,3,3,0,0,1,0,0,0,0,0,0,0,0,0,648,
2020.2.23,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,398,0,3,2,0,2,1,0,0,0,0,0,0,0,0,409,
2020.2.24,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,499,0,2,1,0,1,2,0,0,0,0,0,0,0,0,508,
2020.2.25,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,401,0,0,0,0,0,2,0,0,0,0,0,0,0,0,406,
2020.2.26,10,0,5,0,0,0,0,0,1,0,0,0,2,0,0,1,409,1,0,0,0,0,3,0,0,0,0,0,0,0,0,432,
2020.2.27,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,318,0,1,0,0,0,4,0,0,0,0,0,0,0,0,327,
2020.2.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,1,1,0,0,0,0,0,0,0,0,0,0,1,0,427,
2020.2.29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571,
2020.3.1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,196,0,0,0,0,0,0,0,0,0,0,0,0,1,0,201,
2020.3.2,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,
2020.3.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,117,
2020.3.4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,134,0,0,0,0,0,1,0,0,0,0,0,0,0,0,137,
2020.3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127,
2020.3.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,
2020.3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,
2020.3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,
2020.3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,
2020.3.10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,
2020.3.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,
2020.3.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,
2020.3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
2020.3.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
2020.3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
